C?digo postal;Estado;;;;
20000;Aguascalientes;;;;
20008;Aguascalientes;;;;
20009;Aguascalientes;;;;
20010;Aguascalientes;;;;
20010;Aguascalientes;;;;
20010;Aguascalientes;;;;
20010;Aguascalientes;;;;
20010;Aguascalientes;;;;
20016;Aguascalientes;;;;
20016;Aguascalientes;;;;
20016;Aguascalientes;;;;
20016;Aguascalientes;;;;
20018;Aguascalientes;;;;
20020;Aguascalientes;;;;
20020;Aguascalientes;;;;
20020;Aguascalientes;;;;
20020;Aguascalientes;;;;
20029;Aguascalientes;;;;
20030;Aguascalientes;;;;
20030;Aguascalientes;;;;
20030;Aguascalientes;;;;
20040;Aguascalientes;;;;
20040;Aguascalientes;;;;
20040;Aguascalientes;;;;
20040;Aguascalientes;;;;
20040;Aguascalientes;;;;
20049;Aguascalientes;;;;
20050;Aguascalientes;;;;
20050;Aguascalientes;;;;
20050;Aguascalientes;;;;
20050;Aguascalientes;;;;
20050;Aguascalientes;;;;
20050;Aguascalientes;;;;
20059;Aguascalientes;;;;
20059;Aguascalientes;;;;
20060;Aguascalientes;;;;
20060;Aguascalientes;;;;
20064;Aguascalientes;;;;
20070;Aguascalientes;;;;
20070;Aguascalientes;;;;
20070;Aguascalientes;;;;
20078;Aguascalientes;;;;
20080;Aguascalientes;;;;
20080;Aguascalientes;;;;
20089;Aguascalientes;;;;
20100;Aguascalientes;;;;
20100;Aguascalientes;;;;
20100;Aguascalientes;;;;
20100;Aguascalientes;;;;
20100;Aguascalientes;;;;
20100;Aguascalientes;;;;
20110;Aguascalientes;;;;
20110;Aguascalientes;;;;
20110;Aguascalientes;;;;
20110;Aguascalientes;;;;
20110;Aguascalientes;;;;
20110;Aguascalientes;;;;
20110;Aguascalientes;;;;
20115;Aguascalientes;;;;
20115;Aguascalientes;;;;
20115;Aguascalientes;;;;
20115;Aguascalientes;;;;
20115;Aguascalientes;;;;
20115;Aguascalientes;;;;
20115;Aguascalientes;;;;
20116;Aguascalientes;;;;
20116;Aguascalientes;;;;
20116;Aguascalientes;;;;
20117;Aguascalientes;;;;
20118;Aguascalientes;;;;
